STRD_YYMM,SIDO_NM,CCG_NM,GENDER_CD,AGE_CD,TP_BUZ_NO,TP_BUZ_NM,amt,cnt,AGE_LABEL,amt_per_cnt
202606,경기도,부천시 원미구,3,4,4010,편의점,65620000,8123,40대,8078.296195986704
202603,강원특별자치도,원주시,3,2,4010,편의점,54940000,7059,20대,7782.972092364357
202601,경기도,안산시 단원구,3,3,8005,중국음식,170610000,4971,30대,34321.06216053108
202606,인천광역시,부평구,3,4,4010,편의점,87810000,10282,40대,8540.167282629838
202606,대전광역시,중구,3,5,4020,슈퍼마켓,25110000,1645,50대,15264.437689969605
202601,전라남도,나주시,3,6,8001,일반한식,36740000,814,60대 이상,45135.13513513513
202604,대전광역시,유성구,3,2,4004,대형할인점,10440000,405,20대,25777.777777777777
202603,경기도,평택시,3,6,8001,일반한식,111590000,3183,60대 이상,35058.12126924285
202602,서울특별시,관악구,3,6,4020,슈퍼마켓,69090000,4486,60대 이상,15401.248328131966
202601,경기도,안산시 단원구,3,2,4004,대형할인점,43290000,1034,20대,41866.537717601546
202604,서울특별시,서초구,3,4,8301,제과점,8810000,894,40대,9854.586129753916
202604,전라남도,여수시,3,6,8001,일반한식,116220000,2709,60대 이상,42901.439645625695
202606,경기도,화성시 만세구,3,3,4020,슈퍼마켓,785730000,36879,30대,21305.621085170424
202605,광주광역시,광산구,3,2,8001,일반한식,148450000,5175,20대,28685.99033816425
202605,서울특별시,노원구,3,2,4010,편의점,42390000,7334,20대,5779.929097354786
202604,경기도,포천시,3,3,4010,편의점,93020000,9659,30대,9630.396521379025
202606,서울특별시,강서구,3,3,4010,편의점,49610000,6334,30대,7832.333438585412
202605,경상남도,김해시,3,6,4010,편의점,14240000,1539,60대 이상,9252.761533463288
202602,광주광역시,북구,3,2,8006,서양음식,27180000,3305,20대,8223.903177004539
202603,전라남도,완도군,3,3,4010,편의점,32870000,2747,30대,11965.78085183837
202603,경기도,용인시 수지구,3,3,8001,일반한식,14030000,547,30대,25648.994515539307
202601,경기도,화성시 만세구,3,3,8021,스넥,22690000,1354,30대,16757.754800590843
202604,전북특별자치도,익산시,3,2,8021,스넥,4030000,173,20대,23294.79768786127
202602,경기도,안성시,3,4,8005,중국음식,20390000,518,40대,39362.934362934364
202601,경상남도,거제시,3,4,4010,편의점,54320000,5638,40대,9634.62220645619
202605,서울특별시,도봉구,3,6,4020,슈퍼마켓,12500000,739,60대 이상,16914.749661705006
202605,대구광역시,중구,3,2,8004,일식회집,13210000,402,20대,32860.69651741294
202604,서울특별시,성북구,3,6,8001,일반한식,37850000,1032,60대 이상,36676.35658914729
202602,충청남도,천안시 서북구,3,5,8001,일반한식,83760000,2228,50대,37594.25493716337
202604,경상남도,함안군,3,6,8001,일반한식,12930000,652,60대 이상,19831.28834355828
202606,경기도,이천시,3,3,8301,제과점,6210000,479,30대,12964.509394572025
202606,전북특별자치도,남원시,3,5,4020,슈퍼마켓,14460000,916,50대,15786.026200873363
202601,광주광역시,광산구,3,4,4010,편의점,92700000,10081,40대,9195.516317825613
202602,경기도,고양시 덕양구,3,6,8006,서양음식,8430000,615,60대 이상,13707.317073170732
202603,인천광역시,남동구,3,3,8004,일식회집,7380000,114,30대,64736.84210526316
202605,경기도,부천시 원미구,3,6,4020,슈퍼마켓,50870000,3542,60대 이상,14361.942405420667
202603,경기도,부천시 원미구,3,2,4020,슈퍼마켓,27210000,2468,20대,11025.12155591572
202605,서울특별시,서초구,3,1,4010,편의점,6900000,1103,20대 이하,6255.666364460562
202606,서울특별시,양천구,3,3,4010,편의점,16710000,2305,30대,7249.457700650759
202605,경상북도,상주시,3,5,4010,편의점,4570000,471,50대,9702.76008492569
202604,인천광역시,남동구,3,5,4020,슈퍼마켓,77290000,4299,50대,17978.59967434287
202604,서울특별시,용산구,3,6,4010,편의점,19230000,2337,60대 이상,8228.498074454428
202603,인천광역시,옹진군,3,5,4010,편의점,630000,63,50대,10000.0
202601,서울특별시,금천구,3,6,4020,슈퍼마켓,77410000,5495,60대 이상,14087.352138307553
202603,서울특별시,은평구,3,6,8006,서양음식,5860000,680,60대 이상,8617.64705882353
202603,광주광역시,북구,3,2,8021,스넥,7160000,679,20대,10544.918998527246
202604,충청남도,아산시,3,5,4004,대형할인점,16450000,372,50대,44220.43010752688
202605,강원특별자치도,춘천시,3,6,4010,편의점,12390000,1483,60대 이상,8354.686446392448
202606,서울특별시,금천구,3,4,4020,슈퍼마켓,67180000,4952,40대,13566.235864297254
202602,서울특별시,관악구,3,5,8005,중국음식,10380000,283,50대,36678.44522968198
202605,강원특별자치도,원주시,3,2,8001,일반한식,37690000,1576,20대,23914.97461928934
202603,경상남도,함안군,3,3,4010,편의점,33010000,3000,30대,11003.333333333334
202605,인천광역시,중구,3,5,8006,서양음식,26390000,2222,50대,11876.687668766877
202602,광주광역시,동구,3,5,8021,스넥,4310000,263,50대,16387.832699619772
202601,경상남도,김해시,3,3,8001,일반한식,98430000,3237,30대,30407.78498609824
202603,경상북도,칠곡군,3,4,4010,편의점,24000000,2472,40대,9708.73786407767
202602,대구광역시,서구,3,5,4020,슈퍼마켓,45100000,2361,50대,19102.075391783143
202605,경상남도,양산시,3,5,4004,대형할인점,15410000,457,50대,33719.9124726477
202604,경기도,고양시 일산동구,3,2,4010,편의점,27450000,3452,20대,7951.911935110081
202603,경상남도,통영시,3,2,4010,편의점,27300000,2169,20대,12586.445366528354
202606,전라남도,나주시,3,3,4010,편의점,28320000,2810,30대,10078.291814946619
202604,경기도,시흥시,3,3,4020,슈퍼마켓,451020000,25241,30대,17868.547204944338
202603,경상북도,영주시,3,5,8001,일반한식,9660000,291,50대,33195.87628865979
202602,경기도,군포시,3,3,8001,일반한식,29130000,1043,30대,27929.050814956856
202605,서울특별시,중랑구,3,4,8006,서양음식,10700000,1098,40대,9744.990892531876
202605,부산광역시,북구,3,5,8006,서양음식,13010000,1761,50대,7387.847813742192
202603,경기도,부천시 원미구,3,3,8006,서양음식,28940000,3317,30대,8724.751281278264
202605,광주광역시,서구,3,2,4004,대형할인점,16720000,489,20대,34192.229038854806
202605,대전광역시,유성구,3,6,4010,편의점,14540000,1755,60대 이상,8284.900284900285
202606,서울특별시,성북구,3,4,8001,일반한식,24520000,671,40대,36542.4739195231
202605,경기도,시흥시,3,3,8301,제과점,20390000,1769,30대,11526.286037309213
202605,충청남도,아산시,3,5,4010,편의점,97740000,9744,50대,10030.788177339902
202601,경상남도,양산시,3,2,4020,슈퍼마켓,166960000,7740,20대,21571.059431524547
202601,전북특별자치도,전주시 완산구,3,4,8006,서양음식,24100000,1837,40대,13119.216113228089
202601,충청남도,당진시,3,3,8021,스넥,4940000,254,30대,19448.818897637797
202603,광주광역시,광산구,3,4,8005,중국음식,11600000,395,40대,29367.08860759494
202603,경기도,부천시 원미구,3,5,8006,서양음식,15240000,1455,50대,10474.226804123711
202606,인천광역시,중구,3,1,4010,편의점,7170000,1186,20대 이하,6045.531197301855
202606,충청남도,계룡시,3,6,8001,일반한식,3670000,105,60대 이상,34952.380952380954
202603,울산광역시,울주군,3,1,4020,슈퍼마켓,1060000,120,20대 이하,8833.333333333334
202601,서울특별시,성북구,3,1,8021,스넥,2130000,191,20대 이하,11151.832460732985
202606,경기도,시흥시,3,4,8021,스넥,33640000,2427,40대,13860.733415739596
202601,경기도,이천시,3,5,8001,일반한식,53940000,1605,50대,33607.47663551402
202604,서울특별시,노원구,3,3,4010,편의점,18190000,2403,30대,7569.7045359966705
202606,전라남도,진도군,3,3,4010,편의점,15640000,1090,30대,14348.62385321101
202601,경기도,안성시,3,5,8005,중국음식,14000000,317,50대,44164.03785488959
202602,전라남도,진도군,3,2,4010,편의점,17280000,971,20대,17796.086508753862
202602,서울특별시,노원구,3,2,8001,일반한식,12610000,569,20대,22161.687170474517
202601,경기도,동두천시,3,3,8006,서양음식,7100000,450,30대,15777.777777777777
202603,부산광역시,북구,3,3,8006,서양음식,10640000,1206,30대,8822.553897180764
202601,충청남도,태안군,3,3,4010,편의점,24240000,1304,30대,18588.957055214723
202606,충청남도,천안시 동남구,3,6,8001,일반한식,51230000,1591,60대 이상,32199.874292897548
202602,서울특별시,송파구,3,2,8021,스넥,5900000,541,20대,10905.730129390018
202601,부산광역시,남구,3,2,4020,슈퍼마켓,133770000,14962,20대,8940.649645769283
202606,강원특별자치도,인제군,3,4,8006,서양음식,2190000,251,40대,8725.099601593625
202603,부산광역시,남구,3,6,4004,대형할인점,12700000,539,60대 이상,23562.152133580705
202606,서울특별시,중랑구,3,2,4020,슈퍼마켓,18140000,1789,20대,10139.742873113471
202602,강원특별자치도,원주시,3,3,4010,편의점,46520000,4937,30대,9422.72635203565
202602,서울특별시,동작구,3,2,8001,일반한식,30740000,1522,20대,20197.10906701708
202606,인천광역시,연수구,3,1,4010,편의점,18730000,2688,20대 이하,6968.005952380952
202603,경기도,시흥시,3,3,4004,대형할인점,187970000,3039,30대,61852.58308654163
202601,전북특별자치도,군산시,3,3,8001,일반한식,54510000,1315,30대,41452.471482889734
202603,대전광역시,동구,3,6,4010,편의점,12030000,1558,60대 이상,7721.437740693196
202602,대구광역시,북구,3,4,4010,편의점,27870000,3122,40대,8926.969891095452
202603,제주특별자치도,서귀포시,3,4,8021,스넥,50010000,2431,40대,20571.781160016453
202606,경기도,오산시,3,2,4010,편의점,60630000,7948,20대,7628.334172118772
202602,부산광역시,기장군,3,2,4020,슈퍼마켓,20270000,1010,20대,20069.30693069307
202604,서울특별시,마포구,3,5,8021,스넥,6430000,470,50대,13680.851063829787
202604,부산광역시,동구,3,3,8005,중국음식,6230000,123,30대,50650.40650406504
202603,대전광역시,동구,3,1,8001,일반한식,4030000,193,20대 이하,20880.82901554404
202601,경기도,평택시,3,6,8005,중국음식,13930000,390,60대 이상,35717.94871794872
202603,서울특별시,강동구,3,3,8021,스넥,3080000,261,30대,11800.766283524905
202604,경기도,수원시 권선구,3,2,8021,스넥,3240000,199,20대,16281.40703517588
202602,전북특별자치도,익산시,3,2,4010,편의점,50610000,5604,20대,9031.049250535332
202604,경기도,안양시 만안구,3,4,8001,일반한식,30030000,1039,40대,28902.79114533205
202604,경상남도,진주시,3,2,8006,서양음식,21760000,1741,20대,12498.564043653072
202606,경기도,하남시,3,3,8301,제과점,2090000,183,30대,11420.765027322404
202602,충청남도,청양군,3,6,8006,서양음식,710000,59,60대 이상,12033.898305084746
202601,인천광역시,남동구,3,4,4004,대형할인점,52190000,1283,40대,40678.09820732658
202606,경기도,광명시,3,4,8301,제과점,1920000,193,40대,9948.18652849741
202603,경기도,평택시,3,1,8021,스넥,1100000,65,20대 이하,16923.076923076922
202604,전북특별자치도,전주시 덕진구,3,4,8021,스넥,6350000,364,40대,17445.054945054944
202605,강원특별자치도,삼척시,3,3,4020,슈퍼마켓,3130000,123,30대,25447.154471544716
202605,서울특별시,용산구,3,2,4020,슈퍼마켓,20120000,1487,20대,13530.598520511096
202605,대구광역시,남구,3,5,8001,일반한식,27790000,868,50대,32016.129032258064
202603,경기도,화성시 만세구,3,5,8021,스넥,12270000,686,50대,17886.297376093295
202604,경기도,평택시,3,4,4004,대형할인점,28130000,798,40대,35250.62656641604
202604,세종특별자치시,세종특별자치시,3,6,4010,편의점,13930000,1479,60대 이상,9418.526031102096
202604,서울특별시,마포구,3,4,4010,편의점,37160000,4642,40대,8005.170185264972
202604,경기도,안양시 만안구,3,4,8021,스넥,3200000,247,40대,12955.465587044535
202601,강원특별자치도,삼척시,3,2,4010,편의점,5390000,362,20대,14889.502762430939
202601,경기도,화성시 동탄구,3,6,8006,서양음식,3500000,294,60대 이상,11904.761904761905
202606,전라남도,함평군,3,2,4010,편의점,4510000,385,20대,11714.285714285714
202605,경상북도,울진군,3,2,4020,슈퍼마켓,12640000,451,20대,28026.607538802662
202605,경상남도,창원시 진해구,3,5,8006,서양음식,9150000,996,50대,9186.746987951807
202606,경기도,화성시 만세구,3,4,8005,중국음식,37710000,1146,40대,32905.759162303664
202601,경상북도,경주시,3,3,4004,대형할인점,31730000,898,30대,35334.075723830734
202601,경기도,수원시 영통구,3,4,4020,슈퍼마켓,13330000,839,40대,15887.961859356377
202605,경기도,용인시 수지구,3,2,8004,일식회집,1170000,32,20대,36562.5
202603,경상북도,경주시,3,5,4004,대형할인점,15770000,494,50대,31923.076923076922
202604,서울특별시,양천구,3,6,8005,중국음식,3020000,131,60대 이상,23053.435114503816
202606,서울특별시,영등포구,3,2,8021,스넥,7580000,566,20대,13392.226148409894
202605,경상북도,문경시,3,4,8021,스넥,1050000,58,40대,18103.44827586207
202604,서울특별시,강서구,3,5,4020,슈퍼마켓,22750000,1611,50대,14121.663563004346
202604,경기도,고양시 일산동구,3,6,4010,편의점,13500000,1606,60대 이상,8405.977584059776
202606,경기도,포천시,3,2,8301,제과점,2960000,320,20대,9250.0
202606,부산광역시,사상구,3,4,8301,제과점,2850000,284,40대,10035.211267605633
202602,경상남도,양산시,3,4,8021,스넥,5330000,371,40대,14366.576819407008
202604,서울특별시,동대문구,3,6,8301,제과점,3300000,332,60대 이상,9939.759036144578
202605,울산광역시,중구,3,3,4010,편의점,15670000,1606,30대,9757.160647571607
202606,충청남도,서산시,3,5,4010,편의점,28810000,2636,50대,10929.438543247345
202605,충청북도,청주시 서원구,3,2,4020,슈퍼마켓,12990000,963,20대,13489.096573208722
202603,부산광역시,연제구,3,5,8006,서양음식,8580000,1194,50대,7185.929648241206
202605,대구광역시,북구,3,5,4004,대형할인점,26280000,667,50대,39400.29985007496
202605,강원특별자치도,홍천군,3,2,4010,편의점,8850000,1208,20대,7326.158940397351
202601,충청남도,당진시,3,1,4010,편의점,8410000,1262,20대 이하,6664.025356576863
202605,전북특별자치도,전주시 덕진구,3,3,4020,슈퍼마켓,44200000,2474,30대,17865.804365400163
202604,충청남도,보령시,3,6,4020,슈퍼마켓,15490000,359,60대 이상,43147.632311977715
202605,경기도,군포시,3,5,4020,슈퍼마켓,31080000,2211,50대,14056.987788331073
202601,경기도,고양시 덕양구,3,6,8021,스넥,3940000,180,60대 이상,21888.88888888889
202603,서울특별시,도봉구,3,3,8021,스넥,1700000,115,30대,14782.608695652174
202602,광주광역시,북구,3,3,8005,중국음식,5880000,186,30대,31612.90322580645
202605,대구광역시,남구,3,4,4020,슈퍼마켓,10270000,737,40대,13934.871099050204
202601,대구광역시,서구,3,3,4020,슈퍼마켓,62220000,4152,30대,14985.549132947977
202604,전라남도,영암군,3,3,8021,스넥,9520000,426,30대,22347.417840375587
202604,경기도,수원시 권선구,3,3,8001,일반한식,38190000,1152,30대,33151.041666666664
202605,경상남도,사천시,3,4,8005,중국음식,1350000,47,40대,28723.40425531915
202602,부산광역시,해운대구,3,4,4004,대형할인점,23990000,715,40대,33552.44755244755
202606,강원특별자치도,정선군,3,3,8006,서양음식,1920000,173,30대,11098.265895953757
202601,울산광역시,동구,3,4,4020,슈퍼마켓,39630000,2386,40대,16609.388097233863
202602,전라남도,순천시,3,6,8001,일반한식,45780000,1083,60대 이상,42271.468144044324
202606,충청남도,아산시,3,3,4004,대형할인점,23280000,415,30대,56096.385542168675
202604,경기도,부천시 오정구,3,4,8006,서양음식,5250000,645,40대,8139.53488372093
202606,전북특별자치도,무주군,3,5,4010,편의점,2180000,183,50대,11912.56830601093
202605,경기도,김포시,3,4,8301,제과점,8880000,730,40대,12164.383561643835
202604,충청북도,진천군,3,2,8021,스넥,5100000,236,20대,21610.169491525423
202601,경기도,성남시 수정구,3,4,8001,일반한식,36870000,1060,40대,34783.018867924526
202606,부산광역시,영도구,3,3,8001,일반한식,13380000,355,30대,37690.140845070426
202604,충청북도,충주시,3,6,4020,슈퍼마켓,66300000,2409,60대 이상,27521.793275217933
202603,전라남도,순천시,3,6,8001,일반한식,54110000,1399,60대 이상,38677.62687634024
202605,경상북도,포항시 북구,3,3,4020,슈퍼마켓,28020000,1417,30대,19774.170783345096
202604,경상북도,포항시 북구,3,6,4010,편의점,6800000,714,60대 이상,9523.809523809523
202602,경상남도,사천시,3,5,4020,슈퍼마켓,5160000,244,50대,21147.54098360656
202603,강원특별자치도,영월군,3,4,8001,일반한식,4860000,140,40대,34714.28571428572
202605,광주광역시,서구,3,2,8021,스넥,4430000,297,20대,14915.824915824916
202603,충청남도,공주시,3,5,8301,제과점,1680000,98,50대,17142.85714285714
202606,경상북도,영천시,3,3,4010,편의점,30510000,3432,30대,8889.86013986014
202606,전북특별자치도,장수군,3,6,8001,일반한식,13510000,335,60대 이상,40328.35820895522
202601,경기도,가평군,3,5,4020,슈퍼마켓,12840000,538,50대,23866.17100371747
202605,충청남도,예산군,3,3,8006,서양음식,6030000,470,30대,12829.787234042553
202601,대구광역시,북구,3,4,4004,대형할인점,20350000,516,40대,39437.98449612403
202605,세종특별자치시,세종특별자치시,3,3,8006,서양음식,20980000,1933,30대,10853.595447490947
202606,경상남도,산청군,3,3,4020,슈퍼마켓,12570000,419,30대,30000.0
202601,경기도,수원시 팔달구,3,6,8301,제과점,6090000,646,60대 이상,9427.244582043344
202604,전북특별자치도,고창군,3,4,8001,일반한식,8970000,335,40대,26776.119402985074
202606,전북특별자치도,전주시 완산구,3,2,8301,제과점,2730000,221,20대,12352.941176470587
202602,경기도,양주시,3,4,4020,슈퍼마켓,67160000,2064,40대,32538.75968992248
202604,부산광역시,강서구,3,6,8001,일반한식,25590000,655,60대 이상,39068.70229007633
202603,울산광역시,중구,3,5,4020,슈퍼마켓,16640000,1087,50대,15308.1876724931
202604,전라남도,강진군,3,2,4010,편의점,2740000,231,20대,11861.471861471862
202606,경상남도,창원시 의창구,3,3,8001,일반한식,25070000,683,30대,36705.71010248902
202604,전라남도,나주시,3,6,8001,일반한식,38650000,900,60대 이상,42944.444444444445
202605,경상남도,창녕군,3,4,4010,편의점,16450000,1832,40대,8979.257641921396
202602,경기도,화성시 병점구,3,2,8001,일반한식,5590000,168,20대,33273.80952380953
202604,경상북도,고령군,3,3,8021,스넥,1740000,68,30대,25588.235294117647
202604,경상남도,창녕군,3,4,4020,슈퍼마켓,29670000,1149,40대,25822.454308093995
202605,경기도,고양시 일산서구,3,2,8006,서양음식,8730000,726,20대,12024.793388429753
202604,경상북도,포항시 남구,3,6,4020,슈퍼마켓,34600000,1439,60대 이상,24044.47533009034
202602,대구광역시,달성군,3,5,4010,편의점,15900000,1542,50대,10311.284046692606
202602,경기도,안성시,3,4,8006,서양음식,32590000,2236,40대,14575.134168157423
202602,전라남도,영암군,3,4,8301,제과점,1650000,119,40대,13865.546218487394
202605,서울특별시,양천구,3,4,8006,서양음식,11630000,1243,40대,9356.395816572807
202604,경상북도,울진군,3,3,8006,서양음식,2430000,210,30대,11571.42857142857
202601,경상북도,포항시 북구,3,2,8001,일반한식,15640000,404,20대,38712.87128712871
202602,충청남도,당진시,3,3,4004,대형할인점,15980000,445,30대,35910.11235955056
202601,강원특별자치도,동해시,3,6,4010,편의점,4520000,402,60대 이상,11243.781094527363
202606,부산광역시,부산진구,3,6,8005,중국음식,4970000,177,60대 이상,28079.09604519774
202602,경상북도,상주시,3,5,4020,슈퍼마켓,6260000,237,50대,26413.50210970464
202604,인천광역시,옹진군,3,5,8006,서양음식,480000,33,50대,14545.454545454546
202603,부산광역시,동래구,3,5,8021,스넥,4390000,287,50대,15296.16724738676
202602,충청남도,아산시,3,4,8301,제과점,13190000,942,40대,14002.123142250532
202602,경상남도,창녕군,3,2,8001,일반한식,7990000,256,20대,31210.9375
202605,대구광역시,중구,3,4,8301,제과점,4300000,363,40대,11845.73002754821
202601,충청북도,보은군,3,6,8005,중국음식,1170000,36,60대 이상,32500.0
202602,충청남도,금산군,3,3,4010,편의점,5140000,589,30대,8726.655348047538
202603,강원특별자치도,원주시,3,5,8005,중국음식,6870000,231,50대,29740.25974025974
202606,서울특별시,동작구,3,6,8005,중국음식,4470000,141,60대 이상,31702.127659574468
202604,충청남도,태안군,3,5,8006,서양음식,3930000,246,50대,15975.609756097561
202605,울산광역시,동구,3,5,8005,중국음식,4130000,84,50대,49166.666666666664
202601,서울특별시,도봉구,3,6,8001,일반한식,15800000,509,60대 이상,31041.257367387032
202604,경기도,양주시,3,1,4020,슈퍼마켓,7430000,292,20대 이하,25445.205479452055
202603,전라남도,장성군,3,4,4010,편의점,4510000,419,40대,10763.723150357995
202603,경상남도,남해군,3,2,8001,일반한식,3060000,93,20대,32903.22580645161
202606,인천광역시,중구,3,2,4020,슈퍼마켓,7600000,422,20대,18009.47867298578
202605,경기도,화성시 동탄구,3,6,8004,일식회집,2240000,40,60대 이상,56000.0
202606,충청남도,홍성군,3,6,4010,편의점,4570000,375,60대 이상,12186.666666666666
202604,서울특별시,중구,3,6,8021,스넥,6030000,362,60대 이상,16657.45856353591
202601,서울특별시,도봉구,3,4,4010,편의점,8560000,1016,40대,8425.1968503937
202602,서울특별시,성동구,3,2,8004,일식회집,7570000,259,20대,29227.799227799227
202602,강원특별자치도,춘천시,3,5,8006,서양음식,7080000,578,50대,12249.134948096886
202606,강원특별자치도,화천군,3,3,4020,슈퍼마켓,2940000,210,30대,14000.0
202606,광주광역시,남구,3,6,8301,제과점,3760000,274,60대 이상,13722.627737226278
202604,서울특별시,용산구,3,4,8001,일반한식,47010000,1357,40대,34642.59395725866
202603,경기도,군포시,3,5,8005,중국음식,10770000,242,50대,44504.13223140496
202604,경기도,남양주시,3,1,8301,제과점,90000,33,20대 이하,2727.2727272727275
202602,경기도,안양시 만안구,3,6,4004,대형할인점,18650000,465,60대 이상,40107.52688172043
202601,전북특별자치도,고창군,3,4,8001,일반한식,7770000,286,40대,27167.832167832166
202604,전북특별자치도,완주군,3,6,8001,일반한식,29880000,768,60대 이상,38906.25
202602,전라남도,해남군,3,2,8006,서양음식,2360000,121,20대,19504.132231404958
202601,충청남도,금산군,3,5,4020,슈퍼마켓,9540000,368,50대,25923.91304347826
202603,대구광역시,달서구,3,6,8005,중국음식,3950000,157,60대 이상,25159.23566878981
202602,경기도,광명시,3,2,8004,일식회집,760000,21,20대,36190.47619047619
202601,충청북도,진천군,3,4,8005,중국음식,7510000,192,40대,39114.583333333336
202603,경상북도,포항시 북구,3,3,8006,서양음식,12570000,839,30대,14982.121573301549
202606,경기도,성남시 중원구,3,4,8005,중국음식,3590000,124,40대,28951.612903225807
202601,경기도,성남시 중원구,3,2,8021,스넥,1460000,132,20대,11060.60606060606
202604,서울특별시,성동구,3,1,8006,서양음식,6290000,626,20대 이하,10047.923322683706
202602,강원특별자치도,원주시,3,3,4004,대형할인점,13170000,284,30대,46373.23943661972
202604,전북특별자치도,전주시 완산구,3,5,8004,일식회집,5110000,101,50대,50594.05940594059
202603,전라남도,광양시,3,5,8021,스넥,3970000,246,50대,16138.211382113821
202606,경기도,안산시 상록구,3,4,4004,대형할인점,24170000,720,40대,33569.444444444445
202605,전북특별자치도,군산시,3,6,8006,서양음식,20920000,1522,60대 이상,13745.072273324573
202603,충청남도,당진시,3,3,8006,서양음식,21290000,1297,30대,16414.8033924441
202601,서울특별시,마포구,3,6,8301,제과점,3290000,367,60대 이상,8964.577656675749
202603,충청북도,증평군,3,2,8001,일반한식,4470000,113,20대,39557.5221238938
202601,충청북도,제천시,3,5,4004,대형할인점,7150000,156,50대,45833.333333333336
202604,경기도,김포시,3,6,4004,대형할인점,31310000,1020,60대 이상,30696.07843137255
202606,부산광역시,사하구,3,2,4004,대형할인점,5480000,193,20대,28393.78238341969
202604,충청북도,진천군,3,6,4020,슈퍼마켓,26600000,1259,60대 이상,21127.879269261317
202601,부산광역시,기장군,3,6,8005,중국음식,1670000,65,60대 이상,25692.30769230769
202605,서울특별시,송파구,3,1,8006,서양음식,2440000,221,20대 이하,11040.723981900452
202602,부산광역시,중구,3,3,8301,제과점,1770000,163,30대,10858.895705521472
202606,전라남도,보성군,3,4,8006,서양음식,1670000,137,40대,12189.78102189781
202604,충청북도,보은군,3,2,4020,슈퍼마켓,5260000,301,20대,17475.083056478405
202601,서울특별시,도봉구,3,3,4004,대형할인점,5720000,205,30대,27902.439024390245
202601,경상북도,안동시,3,4,8301,제과점,2720000,199,40대,13668.341708542714
202601,대구광역시,동구,3,6,8006,서양음식,9010000,731,60대 이상,12325.581395348838
202604,경기도,용인시 처인구,3,6,8004,일식회집,1870000,38,60대 이상,49210.52631578947
202604,울산광역시,울주군,3,3,8301,제과점,4820000,571,30대,8441.330998248686
202603,전라남도,광양시,3,5,8301,제과점,2870000,213,50대,13474.178403755868
202604,충청남도,서산시,3,3,8301,제과점,2440000,182,30대,13406.593406593407
202604,인천광역시,서구,3,5,8004,일식회집,3530000,68,50대,51911.76470588235
202602,강원특별자치도,속초시,3,6,4020,슈퍼마켓,18080000,531,60대 이상,34048.964218455745
202605,충청남도,논산시,3,3,8006,서양음식,22200000,1441,30대,15405.968077723803
202601,부산광역시,서구,3,2,8005,중국음식,1660000,121,20대,13719.00826446281
202602,경상북도,김천시,3,3,8301,제과점,1300000,113,30대,11504.424778761062
202603,경기도,수원시 영통구,3,1,4004,대형할인점,1630000,169,20대 이하,9644.970414201183
202605,경상남도,진주시,3,2,4020,슈퍼마켓,35720000,1926,20대,18546.20976116303
202603,충청북도,음성군,3,1,8301,제과점,260000,23,20대 이하,11304.347826086956
202606,경기도,고양시 덕양구,3,2,8021,스넥,1660000,107,20대,15514.018691588784
202602,부산광역시,수영구,3,6,8006,서양음식,12210000,1338,60대 이상,9125.560538116591
202605,대구광역시,남구,3,5,8301,제과점,1700000,156,50대,10897.435897435897
